# t/ms U/kV y_err/kV
0.000000000000000000e+00 -1.564599172586974840e-01 4.063025623758823590e-01
1.256637061435917357e-01 -1.169005220687373559e-01 3.578458899600774346e-01
2.513274122871834715e-01 5.048341750852722853e-01 4.187579158999497064e-01
3.769911184307752072e-01 8.824673644750129498e-01 4.988778370577324206e-01
5.026548245743669430e-01 8.086782327887789279e-01 3.510485749414695711e-01
6.283185307179586232e-01 2.931781693423338719e-01 3.510497276306062675e-01
7.539822368615504145e-01 5.285447819550050941e-01 5.045151363823425772e-01
8.796459430051422057e-01 9.125947475102031969e-01 4.289079061108988511e-01
1.005309649148733886e+00 1.171047274459029230e+00 3.349095186613904040e-01
1.130973355292325566e+00 7.083439778526647856e-01 4.100451549667678552e-01
1.256637061435917246e+00 8.888021923741331598e-01 3.353154533095791257e-01
1.382300767579509149e+00 6.114875393491872035e-01 3.351604352132512843e-01
1.507964473723100829e+00 5.361476432141252246e-01 3.861198190313629985e-01
1.633628179866692509e+00 1.201898585767152694e+00 2.509112347200854187e-01
1.759291886010284411e+00 1.335647438456545766e+00 2.605439894737664464e-01
1.884955592153876092e+00 9.273831843361619587e-01 3.287500623448029735e-01
2.010619298297467772e+00 1.206310684661018762e+00 3.004222709871117725e-01
2.136283004441059674e+00 9.859961273633277568e-01 3.917425036475622457e-01
2.261946710584651132e+00 5.725995282454667823e-01 3.067860085163022776e-01
2.387610416728243035e+00 7.847816096791710994e-01 2.773539639738341056e-01
2.513274122871834493e+00 1.346322328765211074e+00 4.931853331781766436e-01
2.638937829015426395e+00 4.691559053086821196e-01 3.516372199106371221e-01
2.764601535159018297e+00 9.515513690404842073e-01 3.728815914012564292e-01
2.890265241302609756e+00 -4.761006263781444314e-01 2.766645168690313183e-01
3.015928947446201658e+00 3.965030450530113715e-01 3.299294138236497087e-01
3.141592653589793560e+00 3.274117645413216621e-02 3.761318688476526506e-01
3.267256359733385018e+00 -2.127134972407246361e-01 2.922345003903008553e-01
3.392920065876976921e+00 -2.122987762518016852e-01 3.965867801802396286e-01
3.518583772020568823e+00 -1.016545296690963385e+00 3.262381189617715171e-01
3.644247478164160281e+00 -5.579868131805991727e-01 3.470318383901371262e-01
3.769911184307752183e+00 -4.713063994349899199e-01 3.261684470092986454e-01
3.895574890451343641e+00 1.029258650730676683e-01 5.328345247777797056e-01
4.021238596594935544e+00 -9.606602163384183601e-01 3.668877100366804700e-01
4.146902302738527446e+00 -1.085046998384615602e+00 2.977377582471760764e-01
4.272566008882119348e+00 -1.122419761476440181e+00 4.336614937300030670e-01
4.398229715025710362e+00 -6.872556005496894826e-01 2.881803642837108548e-01
4.523893421169302265e+00 -8.561874480867577297e-01 3.835722494517707637e-01
4.649557127312894167e+00 -1.129721964255612665e+00 2.485940523483601006e-01
4.775220833456486069e+00 -8.532547688805324215e-01 2.820595077883423785e-01
4.900884539600077971e+00 -9.451402741358194692e-01 3.826525993120255542e-01
5.026548245743668986e+00 -5.379970809219738470e-01 4.264301569824252014e-01
5.152211951887260888e+00 -1.172103281615303194e+00 3.807065754431051552e-01
5.277875658030852790e+00 -9.621120364105758549e-01 3.594681660104925847e-01
5.403539364174444692e+00 -9.063314070152846957e-01 3.463793424201484505e-01
5.529203070318036595e+00 -1.085118463546208556e+00 2.737049991383885272e-01
5.654866776461628497e+00 -4.934554787895283900e-01 3.185522262711287800e-01
5.780530482605219511e+00 -3.941691425829030315e-01 3.355018681961691174e-01
5.906194188748811413e+00 -3.658005289136423421e-01 4.544917329966978170e-01
6.031857894892403316e+00 -3.411290517212960949e-01 3.940504461027485861e-01
6.157521601035995218e+00 -4.912986188485686245e-01 2.585650348784936936e-01
6.283185307179586232e+00 -1.651091563404712137e-01 3.925139479859872660e-01
