# x err_x y err_y
-3.773688327645143281e-01 1.478144685200107056e-01 -5.163522075327212635e-01 2.199036265989992023e-01
4.209392938636988268e-01 1.380703225971262604e-01 3.378888619622647527e-01 1.967138034019594028e-01
7.842441067581763514e-01 1.421229002773499450e-01 5.594963100985891336e-01 1.805258935030061573e-01
8.797321962844284471e-01 1.513810153183276219e-01 -1.629478797872855322e-01 5.407666730495684915e-01
1.660019248793082269e+00 1.485814330262391902e-01 1.041885278432788775e+00 2.584906762045119377e-01
1.466029361472212189e+00 1.288812431978897388e-01 8.884060656908461251e-01 2.641013651881113922e-01
1.990657805191232033e+00 1.419194580507258940e-01 5.759649258507602010e-01 2.068340272583879536e-01
2.289716155210667292e+00 1.343149504417005258e-01 9.285210176235372259e-01 3.803159618292507593e-01
2.851922993925519290e+00 1.346386248627165771e-01 1.172424160525461223e-01 1.855985345754933291e-01
3.179226452632497590e+00 1.381424230546247633e-01 -2.294660461035882837e-02 2.825719461835900503e-01
3.328061062907765155e+00 1.363135105671424707e-01 -1.752504013610042821e-02 2.302384038632736829e-01
3.692672362212467974e+00 1.455426184935623424e-01 -4.799771542100267352e-01 3.382637877870124932e-01
3.843518842471973507e+00 1.405842798112129088e-01 -3.512671228284465208e-01 2.584012831666885335e-01
4.029314022762713776e+00 1.361611389806740013e-01 -1.036629045508704827e+00 2.113605882096532274e-01
4.581574058146218320e+00 1.383723777619466078e-01 -8.712931920838359323e-01 2.986584493169301968e-01
4.981924965969816377e+00 1.376121189452301496e-01 -1.198438071502589075e+00 3.424942400337859238e-01
5.470519877326566416e+00 1.458325772639017248e-01 -9.936878625182377078e-01 3.072649625946680119e-01
5.782861116675959146e+00 1.339541216785538613e-01 -6.706166294844578823e-01 3.298034425292601934e-01
5.899245368841906867e+00 1.374704058919578864e-01 -4.521534893393729382e-01 2.490014328529945864e-01
6.243983446436500273e+00 1.296774861243495947e-01 -2.401942764132533603e-02 2.701379972038837618e-01
