phase difference Δt
maxima_close	maxima_far	Δt
44.0		56.0		12.0
123.5		131.5		8.0
203.5		210.5		7.0
283.5		290.5		7.0
363.5		370.5		7.0
443.0		450.0		7.0
524.0		531.0		7.0
603.5		610.0		6.5
683.0		690.5		7.5
763.5		770.0		6.5

amplitudes in Kelvin (from fitted e-function to peak)
aluminum wide FAR (A1_aluminum)
t	ΔT (amplitude)
56.0	5.45	
131.5	6.65	
210.5	6.52	
290.5	6.35	
370.5	6.31	
450.0	6.34	
531.0	6.41	
610.0	6.54	
690.5	6.5	
770.0	6.53	

aluminum wide CLOSE (A2_aluminum)
t	ΔT (amplitude)
44.0	12.59	
123.5	13.8	
203.5	13.51	
283.5	13.3	
363.5	13.23	
443.0	13.23	
524.0	13.31	
603.5	13.42	
683.0	13.39	
763.5	13.38	
