phase difference Δt
maxima_close	maxima_far	Δt
46.5		80.5		34.0
126.0		145.5		19.5
205.5		222.5		17.0
285.5		300.0		14.5
365.5		380.0		14.5
445.5		459.0		13.5
525.5		539.0		13.5
605.0		618.5		13.5
685.0		697.0		12.0
765.0		778.5		13.5

amplitudes in Kelvin (from fitted e-function to peak)
brass wide FAR (A1_brass)
t	ΔT (amplitude)
80.5	0.91	
145.5	2.11	
222.5	2.39	
300.0	2.63	
380.0	2.72	
459.0	2.78	
539.0	2.81	
618.5	2.84	
697.0	2.78	
778.5	2.65	

brass wide CLOSE (A2_brass)
t	ΔT (amplitude)
46.5	9.7	
126.0	9.47	
205.5	9.36	
285.5	9.38	
365.5	9.43	
445.5	9.46	
525.5	9.53	
605.0	9.57	
685.0	9.47	
765.0	9.41	
