#V406 Versuchsaufbau Randdaten
#Abstand Spalt-Sensor D_ss = (77.8 cm)-(2.3 cm + 12.89 cm) = 626.1 mm
#Absolute Distanz Laser Ad_L = 864 mm 
#Abstand Laser_Spalt D_ls = 864 mm - 778 mm = 86 mm

#Dunkelstrom Tageslicht I_duT = 0.63~0.6 µA (je Wolkenlage)
#Dunkelstrom Dunkel I_duD = 0.01 nA

#Messung bei 2 mm - 13.7 mm - 25.4 mm => 0.48 mm Schritte
#Doppelspalt
#Abstand mm     Lichtintensität in µA
                       
0.00            0.942         
0.47            0.920            
0.94            0.718         
1.41            0.620         
1.88            0.724
2.35            0.910
2.82            0.936
3.29            0.750
3.76            0.635
4.23            0.810
4.70            1.120
5.17            1.140
5.64            1.070
6.11            0.720
6.58            1.445
7.05            2.850
7.52            3.450
7.99            2.420
8.46            1.300
8.93            4.350
9.40            15.80
9.87            42.40
10.34           63.00
10.81           80.00
11.28           81.80
11.75           67.50
12.22           42.50
12.69           20.40
13.16           6.350
13.63           1.430
14.10           1.880
14.57           2.950
15.04           2.740
15.51           1.540
15.98           0.800
16.45           0.960
16.92           1.380
17.39           1.430
17.86           1.030
18.33           0.710
18.80           0.730
19.27           0.940
19.74           1.050
20.21           0.840
20.68           0.665
21.15           0.685
21.62           0.855
22.09           0.980
22.56           0.900
23.03           0.715
